etape,dist,elev
1,-3,307
1,-2.9889789153853252,307
1,-2.97795783077065,307
1,-2.9669367461559752,307
1,-2.9669367461559752,307
1,-2.9559156615413,307
1,-2.9448945769266253,307
1,-2.9448945769266253,307
1,-2.93387349231195,307
1,-2.93387349231195,307
1,-2.93387349231195,307
1,-2.9228524076972753,307
1,-2.9118313230826,307
1,-2.9008102384679253,307
1,-2.88978915385325,307
1,-2.8787680692385753,307
1,-2.8787680692385753,307
1,-2.8677469846239,307
1,-2.8567259000092253,307
1,-2.84570481539455,307
1,-2.8346837307798753,307
1,-2.8236626461652,307
1,-2.8126415615505254,307
1,-2.8126415615505254,307
1,-2.80162047693585,307
1,-2.7905993923211754,307
1,-2.7795783077065006,307
1,-2.7685572230918254,307
1,-2.7575361384771506,307
1,-2.7575361384771506,307
1,-2.7465150538624754,307
1,-2.7354939692478006,307
1,-2.7244728846331254,307
1,-2.7134518000184507,307
1,-2.7024307154037754,306
1,-2.6914096307891007,306
1,-2.6914096307891007,306
1,-2.6803885461744255,306
1,-2.6693674615597507,306
1,-2.6693674615597507,306
1,-2.6583463769450755,306
1,-2.6473252923304007,306
1,-2.636304207715675,306
1,-2.636304207715675,306
1,-2.625283123101,306
1,-2.614262038486325,306
1,-2.6032409538716497,306
1,-2.592219869256975,306
1,-2.592219869256975,306
1,-2.5811987846423,306
1,-2.570177700027625,306
1,-2.5591566154129497,306
1,-2.5591566154129497,306
1,-2.548135530798275,306
1,-2.5371144461836,306
1,-2.526093361568925,307
1,-2.51507227695425,307
1,-2.504051192339575,307
1,-2.4930301077249,307
1,-2.482009023110225,308
1,-2.482009023110225,308
1,-2.47098793849555,308
1,-2.47098793849555,308
1,-2.47098793849555,308
1,-2.459966853880875,308
1,-2.4489457692662002,308
1,-2.4489457692662002,308
1,-2.4379246846515255,309
1,-2.4269036000368502,309
1,-2.415882515422175,309
1,-2.415882515422175,309
1,-2.4048614308075003,309
1,-2.393840346192825,309
1,-2.3828192615781503,309
1,-2.371798176963475,309
1,-2.3607770923488003,309
1,-2.3497560077341255,310
1,-2.3497560077341255,310
1,-2.3387349231194503,310
1,-2.327713838504775,310
1,-2.3166927538901003,310
1,-2.3056716692754256,310
1,-2.2946505846607503,310
1,-2.2836295000460245,310
1,-2.2726084154313497,310
1,-2.261587330816675,310
1,-2.2505662462019997,310
1,-2.2395451615873245,310
1,-2.2285240769726498,310
1,-2.2285240769726498,310
1,-2.217502992357975,309
1,-2.2064819077432998,309
1,-2.1954608231286246,309
1,-2.18443973851395,309
1,-2.173418653899275,309
1,-2.1623975692846,309
1,-2.1513764846699246,308
1,-2.14035540005525,308
1,-2.129334315440575,308
1,-2.129334315440575,308
1,-2.1183132308259,308
1,-2.1072921462112246,307
1,-2.09627106159655,307
1,-2.0852499769818746,307
1,-2.0742288923672,307
1,-2.0632078077525247,306
1,-2.05218672313785,307
1,-2.041165638523175,306
1,-2.041165638523175,306
1,-2.0301445539085,306
1,-2.019123469293825,306
1,-2.00810238467915,306
1,-1.9970813000644752,306
1,-1.9860602154498,306
1,-1.9750391308351252,306
1,-1.9750391308351252,306
1,-1.9640180462204502,306
1,-1.9529969616057752,306
1,-1.9419758769911002,305
1,-1.9309547923764252,305
1,-1.9199337077617502,305
1,-1.9089126231470752,305
1,-1.8978915385324002,305
1,-1.8978915385324002,305
1,-1.8978915385324002,305
1,-1.8868704539177255,305
1,-1.8758493693030502,305
1,-1.8648282846883755,305
1,-1.8648282846883755,305
1,-1.8538072000737003,305
1,-1.8427861154590253,305
1,-1.83176503084435,305
1,-1.83176503084435,305
1,-1.83176503084435,305
1,-1.8207439462296753,305
1,-1.8207439462296753,305
1,-1.809722861615,305
1,-1.809722861615,305
1,-1.7987017770003253,305
1,-1.7987017770003253,305
1,-1.7987017770003253,305
1,-1.7876806923856503,305
1,-1.7766596077709753,305
1,-1.7766596077709753,305
1,-1.7656385231563003,305
1,-1.7546174385416253,305
1,-1.7546174385416253,305
1,-1.7435963539269503,305
1,-1.7325752693122753,305
1,-1.7215541846976004,305
1,-1.7105331000829256,305
1,-1.6995120154682504,305
1,-1.6995120154682504,305
1,-1.6884909308535756,305
1,-1.6774698462389004,305
1,-1.6664487616242256,305
1,-1.6664487616242256,305
1,-1.6554276770095504,305
1,-1.6444065923948756,305
1,-1.6333855077802006,305
1,-1.6333855077802006,305
1,-1.6223644231655256,305
1,-1.6113433385508507,305
1,-1.6003222539361757,305
1,-1.5893011693215007,305
1,-1.5782800847068257,305
1,-1.5672590000921507,305
1,-1.5562379154774248,305
1,-1.5562379154774248,305
1,-1.5562379154774248,305
1,-1.5452168308627499,305
1,-1.534195746248075,305
1,-1.5231746616333999,305
1,-1.512153577018725,305
1,-1.50113249240405,305
1,-1.4901114077893751,305
1,-1.4901114077893751,305
1,-1.4790903231747,305
1,-1.4680692385600251,305
1,-1.45704815394535,305
1,-1.4460270693306752,305
1,-1.4350059847160002,305
1,-1.4239849001013252,305
1,-1.4239849001013252,305
1,-1.4129638154866502,305
1,-1.4019427308719752,305
1,-1.3909216462573002,306
1,-1.3799005616426252,306
1,-1.3688794770279502,306
1,-1.3578583924132754,305
1,-1.3468373077986002,306
1,-1.3468373077986002,306
1,-1.3358162231839255,306
1,-1.3247951385692502,306
1,-1.3137740539545755,306
1,-1.3027529693399003,306
1,-1.2917318847252255,306
1,-1.2807108001105505,306
1,-1.2696897154958755,306
1,-1.2586686308812003,306
1,-1.2586686308812003,306
1,-1.2476475462665255,306
1,-1.2366264616518505,306
1,-1.2256053770371758,306
1,-1.2145842924225003,306
1,-1.2035632078078256,306
1,-1.1925421231930997,306
1,-1.1815210385783232,306
1,-1.170499953963648,306
1,-1.159478869348973,306
1,-1.159478869348973,306
1,-1.1484577847342983,306
1,-1.1374367001196233,306
1,-1.1264156155049483,306
1,-1.115394530890273,306
1,-1.104373446275598,306
1,-1.0933523616609233,306
1,-1.0823312770462483,306
1,-1.071310192431573,306
1,-1.0602891078168981,306
1,-1.0492680232022233,306
1,-1.0492680232022233,306
1,-1.0382469385875484,306
1,-1.0272258539728736,306
1,-1.0162047693581981,306
1,-1.0051836847435234,306
1,-0.9941626001288486,306
1,-0.9831415155141738,306
1,-0.9721204308994982,306
1,-0.9610993462848234,307
1,-0.9610993462848234,307
1,-0.9500782616701486,307
1,-0.9390571770554739,307
1,-0.9280360924407987,307
1,-0.9170150078261234,307
1,-0.9059939232114487,307
1,-0.8949728385967739,307
1,-0.8839517539820987,307
1,-0.8729306693674239,307
1,-0.8619095847527487,307
1,-0.8619095847527487,307
1,-0.8508885001380739,307
1,-0.8398674155233987,307
1,-0.828846330908724,307
1,-0.8178252462940487,307
1,-0.806804161679374,307
1,-0.7957830770646988,307
1,-0.784761992450024,307
1,-0.784761992450024,307
1,-0.7737409078353492,307
1,-0.762719823220674,307
1,-0.7516987386059988,307
1,-0.740677653991324,307
1,-0.7296565693766492,307
1,-0.7186354847619745,307
1,-0.7076144001472988,307
1,-0.696593315532624,307
1,-0.696593315532624,307
1,-0.6855722309179493,307
1,-0.6745511463032741,307
1,-0.6635300616885988,307
1,-0.6525089770739236,307
1,-0.6414878924592493,308
1,-0.6304668078445741,308
