Position,Bib,TempsEtape,Etape
1,23,2:39:56,1
2,12,2:39:56,1
3,42,2:39:56,1
4,124,2:39:56,1
5,21,2:39:56,1
6,31,2:39:56,1
7,65,2:39:56,1
8,51,2:39:56,1
9,103,2:39:56,1
10,63,2:39:56,1
11,34,2:39:56,1
12,26,2:39:56,1
13,123,2:39:56,1
14,43,2:39:56,1
15,85,2:39:56,1
16,84,2:39:56,1
17,115,2:39:56,1
18,22,2:39:56,1
19,55,2:39:56,1
20,15,2:39:56,1
21,134,2:39:56,1
22,114,2:39:56,1
23,132,2:39:56,1
24,52,2:39:56,1
25,82,2:39:56,1
26,53,2:39:56,1
27,135,2:39:56,1
28,112,2:39:56,1
29,16,2:39:56,1
30,46,2:39:56,1
31,101,2:39:56,1
32,86,2:39:56,1
33,45,2:40:56,1
34,92,2:39:56,1
35,83,2:39:56,1
36,73,2:39:56,1
37,62,2:39:56,1
38,111,2:39:56,1
39,36,2:39:56,1
40,71,2:39:56,1
41,91,2:39:56,1
42,81,2:39:56,1
43,64,2:39:56,1
44,133,2:39:56,1
45,41,2:39:56,1
46,93,2:39:56,1
47,136,2:39:56,1
48,24,2:39:56,1
49,11,2:39:56,1
50,116,2:39:56,1
51,14,2:39:56,1
52,32,2:39:56,1
53,33,2:40:09,1
54,75,2:40:09,1
55,13,2:40:16,1
56,121,2:40:37,1
57,61,2:41:25,1
58,44,2:42:11,1
59,35,2:42:40,1
60,113,2:43:30,1
61,125,2:46:39,1
62,72,2:45:49,1
63,106,2:47:38,1
64,105,2:47:38,1
65,74,2:47:57,1
66,102,2:49:18,1
67,95,2:49:18,1
68,131,2:50:59,1
69,122,2:53:52,1
70,56,3:07:19,1
71,94,3:20:18,1
1,26,2:46:33,2
2,31,2:46:33,2
3,12,2:46:33,2
4,21,2:46:33,2
5,32,2:46:33,2
6,22,2:46:33,2
7,81,2:46:33,2
8,65,2:46:33,2
9,45,2:46:33,2
10,34,2:46:33,2
11,23,2:46:33,2
12,51,2:46:33,2
13,53,2:46:33,2
14,91,2:46:33,2
15,101,2:46:33,2
16,83,2:46:33,2
17,52,2:46:41,2
18,13,2:46:47,2
19,124,2:48:37,2
20,103,2:48:54,2
21,63,2:48:54,2
22,102,2:48:54,2
23,62,2:48:54,2
24,115,2:48:54,2
25,123,2:48:54,2
26,135,2:48:54,2
27,114,2:48:54,2
28,36,2:48:54,2
29,82,2:48:54,2
30,15,2:48:54,2
31,43,2:48:54,2
32,112,2:48:54,2
33,11,2:48:54,2
34,33,2:48:54,2
35,16,2:48:54,2
36,35,2:48:54,2
37,134,2:48:54,2
38,113,2:48:54,2
39,61,2:48:54,2
40,92,2:48:54,2
41,136,2:48:54,2
42,84,2:48:54,2
43,14,2:48:54,2
44,85,2:48:54,2
45,125,2:48:54,2
46,86,2:48:54,2
47,64,2:48:54,2
48,71,2:48:54,2
49,24,2:48:54,2
50,46,2:48:54,2
51,44,2:48:54,2
52,121,2:48:54,2
53,111,2:48:54,2
54,93,2:48:54,2
55,73,2:48:54,2
56,42,2:49:05,2
57,56,2:49:05,2
58,72,2:49:05,2
59,41,2:49:05,2
60,105,2:49:05,2
61,106,2:49:05,2
62,74,2:49:10,2
63,131,2:49:13,2
64,75,2:49:13,2
65,133,2:49:13,2
66,95,2:49:13,2
67,132,2:50:25,2
68,116,2:57:52,2
69,122,3:01:29,2
1,22,0:12:50.700,3
2,23,0:12:54.060,3
3,124,0:13:23.500,3
4,65,0:13:27.170,3
5,26,0:13:33.560,3
6,102,0:13:35.610,3
7,91,0:13:36.510,3
8,21,0:13:41.160,3
9,12,0:13:42.170,3
10,81,0:13:43.110,3
11,45,0:13:43.430,3
12,34,0:13:45.850,3
13,114,0:13:46.700,3
14,41,0:13:51.720,3
15,42,0:13:52.060,3
16,31,0:13:53.050,3
17,24,0:13:53.260,3
18,101,0:13:54.000,3
19,56,0:13:54.330,3
20,133,0:13:54.990,3
21,83,0:13:56.070,3
22,43,0:13:56.470,3
23,35,0:13:57.480,3
24,62,0:14:00.020,3
25,93,0:14:00.510,3
26,51,0:14:02.460,3
27,85,0:14:03.960,3
28,103,0:14:06.130,3
29,46,0:14:11.840,3
30,53,0:14:14.420,3
31,63,0:14:17.960,3
32,86,0:14:22.600,3
33,132,0:14:23.840,3
34,123,0:14:24.530,3
35,15,0:14:24.690,3
36,11,0:14:26.830,3
37,112,0:14:27.010,3
38,136,0:14:27.220,3
39,134,0:14:27.640,3
40,82,0:14:28.770,3
41,33,0:14:29.200,3
42,92,0:14:34.520,3
43,72,0:14:34.770,3
44,13,0:14:37.730,3
45,75,0:14:38.440,3
46,32,0:14:41.760,3
47,52,0:14:41.930,3
48,115,0:14:43.570,3
49,16,0:14:45.810,3
50,71,0:14:48.080,3
51,121,0:14:48.950,3
52,113,0:14:52.250,3
53,36,0:14:52.940,3
54,84,0:14:55.130,3
55,44,0:14:58.480,3
56,14,0:15:01.430,3
57,111,0:15:03.400,3
58,105,0:15:07.640,3
59,125,0:15:20.330,3
60,61,0:15:22.370,3
61,122,0:15:24.630,3
62,64,0:15:31.800,3
63,74,0:15:34.690,3
64,73,0:15:38.220,3
65,95,0:15:46.460,3
66,135,0:15:51.840,3
67,106,0:15:56.810,3
68,116,0:16:11.310,3
69,131,0:16:41.450,3
