Position,Bib,TempsEtape,Etape
1,31,2:39:56,1
2,65,2:39:56,1
3,103,2:39:56,1
4,34,2:39:56,1
5,26,2:39:56,1
6,123,2:39:56,1
7,43,2:39:56,1
8,84,2:39:56,1
9,134,2:39:56,1
10,132,2:39:56,1
11,82,2:39:56,1
12,53,2:39:56,1
13,135,2:39:56,1
14,112,2:39:56,1
15,16,2:39:56,1
16,46,2:39:56,1
17,101,2:39:56,1
18,86,2:39:56,1
19,45,2:40:56,1
20,92,2:39:56,1
21,83,2:39:56,1
22,73,2:39:56,1
23,64,2:39:56,1
24,93,2:39:56,1
25,116,2:39:56,1
26,14,2:39:56,1
27,75,2:40:09,1
28,61,2:41:25,1
29,44,2:42:11,1
30,35,2:42:40,1
31,125,2:46:39,1
32,72,2:45:49,1
33,106,2:47:38,1
34,105,2:47:38,1
35,74,2:47:57,1
36,102,2:49:18,1
37,95,2:49:18,1
38,122,2:53:52,1
39,56,3:07:19,1
